Animal,Scientific Name,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
Blobfish,Psychrolutes marcidus,30,Up to 10,Pinkish-gray,Up to 100,Carnivore,Deep-sea,None (Apex Predator),1,"Australia, New Zealand, Tasmania",Vulnerable,Psychrolutidae,180,2,Solitary,9000 to 100000 (eggs)
Blue Shark,Prionace glauca,200 to 380,130 to 200,Blue,15 to 20,Carnivore,Oceans,"Orcas, Great White Sharks",15,Worldwide,Near Threatened,Carcharhinidae,270 to 360,40,Schools,25 to 50
Blue Whale,Balaenoptera musculus,3350,upto 200000,Blue-grey,70 to 90,Filter Feeder,Oceans,Orcas,40,Oceans worldwide,Endangered,Balaenopteridae,10 to 12 months,39,Solitary,1 (rarely 2)
Blue-Ringed Octopus,Hapalochlaena,20,Up to 0.3,"Blue, Brown",6 to 8 months,Carnivore,"Coral Reefs, Tide Pools",Larger Fish,5,Indo-Pacific region,Near Threatened,Octopodidae,50 to 70,10,Solitary,Up to 100
Bongo,Tragelaphus eurycerus,110 to 130,210 to 405,Chestnut with white stripes,19,Herbivore,Tropical Forests,"Leopards, Lions",20,Africa,Near Threatened,Bovidae,285,45,Herds,1
Bonobo,Pan paniscus,150,30 to 40,Black,40 to 60,Omnivore,Rainforests,"Leopards, Humans",40 to 60,Democratic Republic of Congo,Endangered,Hominidae,220 to 230,40 to 60,Social groups,1
Bornean Orangutan,Pongo pygmaeus,96 to 150,30 to 82,Reddish-brown,35 to 45,Omnivore,Rainforests,"Tigers, Humans",40 to 64,Borneo,Critically Endangered,Hominidae,230 to 270,40 to 64,Solitary,1
Bottlenose Dolphin,Tursiops truncatus,200 to 400,150 to 650,Grey,20 to 50,Carnivore,Oceans,"Sharks, Orcas",37,Oceans worldwide,Least Concern,Delphinidae,12 months,64,Social pods,1
Boxer Dog,Canis lupus familiaris,53 to 63,25 to 32,"Fawn, Brindle",10 to 12,Omnivore,Human Dwellings,None (Apex Predator),64,Worldwide,Domesticated,Canidae,63,64,Social groups,3 to 8
Brown Bear,Ursus arctos,70 to 120,70 to 780,Brown,20 to 30,Omnivore,"Forests, Mountains","Wolves, Tigers",48,"North America, Europe, Asia",Least Concern,Ursidae,180 to 250,48,Solitary,1 to 4
Burmese Python,Python bivittatus,460,Up to 90,"Brown, Black",20 to 25,Carnivore,"Grasslands, Forests","Leopards, Hawksbills",1.6 to 2.4,"Southeast Asia, South Asia, Indonesia",Least Concern,Pythonidae,88 to 100,1.6 to 2.4,Solitary,30 to 80
California Sea Lion,Zalophus californianus,180 to 250,300 to 1000,Brown,20 to 30,Carnivore,Coastal Waters,"Orcas, Sharks",18,Pacific Ocean,Endangered,Otariidae,340,40,Colonies,1
Capuchin Monkey,Cebinae,30 to 56,1.5 to 4,"Black, Brown, White",15 to 25,Omnivore,Rainforests,"Jaguars, Harpy Eagles",15,Americas,Least Concern,Cebidae,160,35,Troops,1
Capybara,Hydrochoerus hydrochaeris,50 to 62,35 to 66,Brown,8 to 10,Herbivore,"Grasslands, Swamps","Jaguars, Anacondas",30 to 35,South America,Least Concern,Caviidae,150,35,Group-based,2 to 8
Caracal,Caracal caracal,40 to 50,8 to 18,Sandy-brown,12,Carnivore,"Savannas, Forests","Lions, Leopards",30,"Africa, Middle East",Least Concern,Felidae,70 to 80,80,Solitary,1 to 6
Cheetah,Acinonyx jubatus,70 to 90,20 to 72,Tan with Black Spots,10 to 12,Carnivore,"Grasslands, Savannas","Lions, Hyenas",112,"Africa, Iran, India",Vulnerable,Felidae,90 to 98,112,Solitary,3 to 5
Chimpanzee,Pan troglodytes,160,26 to 70,Black,40 to 50,Omnivore,"Rainforests, Grasslands","Leopards, Humans",40,Central and West Africa,Endangered,Hominidae,230 to 240,40,Social groups,1
Chinese Giant Salamander,Andrias davidianus,180,Up to 65,Dark Brown,Up to 70,Carnivore,Freshwater,"Fish, Crustaceans",2,China,Critically Endangered,Cryptobranchidae,50 to 60,5,Solitary,400 to 500 (eggs)
Clouded Leopard,Neofelis nebulosa,25 to 40,11 to 23,Yellow-brown with dark clouds,11 to 17,Carnivore,Rainforests,"Tigers, Leopards",30,Southeast Asia,Vulnerable,Felidae,85 to 93,64,Solitary,1 to 5
Clownfish,Amphiprioninae,7 to 10,50 to 300,Orange,6 to 10,Omnivore,Coral Reefs,"Larger Fish, Anemones",8,"Indian, Pacific Oceans",Not Evaluated,Pomacentridae,6 to 10,1.6,Group-based,"Up to 1,000"
Coelacanth,Latimeria,200,Up to 90,"Brown, Grey",Up to 60,Carnivore,"Deep-sea, Caves","Sharks, Humans",1.6,Western Indian Ocean,Not Evaluated,Latimeriidae,260 to 330 million years,15,Solitary,5 to 26
Colobus Monkey,Colobus,45 to 72,5 to 14,Black and White,20,Herbivore,Forests,"Eagles, Leopards",15,Africa,Least Concern,Cercopithecidae,150 to 180,25,Troops,1
Common Dolphin,Delphinus delphis,200 to 250,100 to 135,"Gray, Yellow",20 to 25,Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",60,Worldwide,Least Concern,Delphinidae,360 to 380,60,Group-based,1
Common Snapping Turtle,Chelydra serpentina,20 to 36,4.5 to 16,"Brown, Gray",30 to 50,Omnivore,Freshwater,"Birds, Raccoons",2,North America,Least Concern,Chelydridae,40 to 80,5,Solitary,20 to 30
Coquerel's Sifaka,Propithecus coquereli,40 to 50,3 to 6,"White, Black",15 to 18,Herbivore,"Rainforests, Madagascar","Fossa, Hawks",30 to 45,Madagascar,Endangered,Indriidae,140 to 160,30,Group-based,1
Coyote,Canis latrans,58 to 66,7 to 20,Grey-brown,10 to 14,Omnivore,"Forests, Grasslands, Deserts","Wolves, Pumas, Bears",25,North America,Least Concern,Canidae,60 to 63,65,Packs/Solitary,4 to 7
Crested Porcupine,Hystrix cristata,60 to 90,5 to 16,"Brown, Black",15,Herbivore,"Forests, Deserts","Lions, Fishers",5,"Americas, Asia, Africa",Least Concern,Erethizontidae,112 to 210,8,Solitary,1 to 3
Cuvier's Dwarf Caiman,Paleosuchus palpebrosus,120 to 140,6 to 7,Dark brown,25,Carnivore,"Rivers, Flooded Forests","Jaguars, Boas",5,South America,Least Concern,Alligatoridae,90,15,Solitary,10 to 25 (eggs)
Dall Sheep,Ovis dalli,90 to 100,70 to 110,White,10 to 15,Herbivore,Alpine Tundra,"Wolves, Bears",30,North America,Least Concern,Bovidae,175,40,Herds,1
Dalmatian Dog,Canis lupus familiaris,50 to 61,23 to 32,"White, Black",10 to 13,Omnivore,Worldwide,"Wolves, Birds of Prey",40 to 45,Worldwide,Domesticated,Canidae,63,37,Pack-based,6 to 9
Dingo,Canis lupus dingo,48 to 58,13 to 20,"Tan, Brown",10 to 15,Carnivore,"Grasslands, Forests","Humans, Dingoes",48 to 64,Australia,Least Concern,Canidae,63,48 to 64,Group-based,1 to 10
Dromedary Camel,Camelus dromedarius,180 to 200,400 to 600,Light brown,40,Herbivore,Deserts,Wolves,20,"Middle East, Africa", Domesticated,Camelidae,390,65,Herds,1
Dugong,Dugong dugon,300,Up to 420,Gray,70 to 80,Herbivore,"Coastal Waters, Seagrass","Sharks, Orcas",10 to 15,"Indian Ocean, Western Pacific",Vulnerable,Dugongidae,13 to 14 months,27,Solitary,1
Eastern Gorilla,Gorilla beringei,140 to 188,73 to 204,Black,40 to 50,Herbivore,Rainforests,"Leopards, Humans",40,Democratic Republic of Congo,Endangered,Hominidae,255 to 270,40,Social groups,1
Echidna,Tachyglossidae,30 to 45,2.5 to 6.5,"Brown, Tan",15 to 20,Insectivore,"Forests, Grasslands","Dingoes, Eagles",16 to 56,"Australia, New Guinea",Least Concern,Tachyglossidae,22 to 28,16 to 56,Solitary,1
Electric Eel,Electrophorus electricus,270,Up to 20,Grayish-brown,10 to 15,Carnivore,Amazon Basin,"Crocodiles, Jaguars",4,Amazon Basin,Least Concern,Gymnotidae,10 weeks,4.8,Solitary,Thousands
Elephant Seal,Mirounga,300 to 500,900 to 4000,Brown,20 to 22,Carnivore,"Oceans, Coastal Areas","Orcas, Great White Sharks",10,Pacific/Southern Oceans,Least Concern,Phocidae,330,20,Colonies,1
Emperor Tamarin,Saguinus imperator,23 to 26,300 to 400,"Black, White",10 to 15,Omnivore,Rainforests,"Snakes, Hawks",32,Amazon Rainforest,Least Concern,Callitrichidae,140 to 145,32,Group-based,1 to 2
Ethiopian Wolf,Canis simensis,53 to 62,11 to 19,Reddish-brown,8 to 10,Carnivore,Afroalpine meadows,None (Apex Predator),30,Ethiopia,Endangered,Canidae,60 to 62,45,Packs,2 to 6
Eurasian Lynx,Lynx lynx,60 to 75,15 to 30,Yellow-brown with spots,15 to 17,Carnivore,Boreal Forests,"Wolves, Tigers",25,"Europe, Asia",Least Concern,Felidae,67 to 74,80,Solitary,1 to 4
European Badger,Meles meles,60 to 90,7 to 17,Grey with black/white face,15,Omnivore,Woodlands,"Wolves, Lynx",15,Europe,Least Concern,Mustelidae,45,30,Clans,1 to 5
European Hedgehog,Erinaceus europaeus,14 to 30,0.6 to 1.2,"Brown, Spiny",2 to 5,Omnivore,"Gardens, Grasslands","Foxes, Badgers",4 to 6,"Europe, Asia",Least Concern,Erinaceidae,35,4 to 6,Solitary,3 to 7
Fallow Deer,Dama dama,85 to 95,40 to 100,Brown with white spots,12 to 16,Herbivore,Woodlands,"Wolves, Lynx",25,"Europe, Asia",Least Concern,Cervidae,240,48,Herds,1
Fennec Fox,Vulpes zerda,20 to 40,0.8 to 1.6,Cream,10 to 14,Omnivore,Sahara Desert,"Eagles, Jackals",32,North Africa,Least Concern,Canidae,50 to 52,32,Solitary,2 to 5
Finless Porpoise,Neophocaena phocaenoides,150 to 190,30 to 45,Grey,20,Carnivore,"Coastal Waters, Rivers",Sharks,15,Asia,Vulnerable,Phocoenidae,300,40,Small groups,1
Fire Salamander,Salamandra salamandra,15 to 25,Up to 55,"Black, Yellow",10 to 15,Carnivore,"Forests, Caves","Birds, Foxes",0.8,Europe,Near Threatened,Salamandridae,30 to 60,0.8,Solitary,10 to 60
Formosan Black Bear,Ursus thibetanus formosanus,120 to 150,50 to 200,Black with white V on chest,25 to 30,Omnivore,Mountain Forests,None (Apex Predator),20,Taiwan,Endangered,Ursidae,200 to 240,40,Solitary,1 to 3
Formosan Rock Macaque,Macaca cyclopis,50 to 60,5 to 12,Grey-brown,20 to 30,Omnivore,"Forests, Mountains","Clouded Leopards, Eagles",15,Taiwan,Least Concern,Cercopithecidae,165,30,Troops,1
Fossa,Cryptoprocta ferox,70 to 90,5 to 8,"Brown, Reddish-brown",15 to 20,Carnivore,"Rainforests, Madagascar","Humans, Larger Predators",45 to 48,Madagascar,Vulnerable,Eupleridae,90,45 to 48,Solitary,2 to 4
Frilled Lizard,Chlamydosaurus kingii,90,Up to 0.5,"Brown, Grey",10 to 15,"Insectivore, Herbivore",Northern Australia,"Birds, Dingoes",29,Northern Australia,Least Concern,Agamidae,43 to 49,29,Solitary,6 to 25
Galaspagos Tortoise,Chelonoidis niger,183,Up to 417,"Brown, Grey",100 to 150,Herbivore,Galápagos Islands,"Humans, Rats",0.3 to 0.5,Galaspagos Islands,Vulnerable,Testudinidae,135,0.3,Solitary,Up to 16
Gangetic Dolphin,Platanista gangetica,200 to 260,150 to 170,Grey,20 to 26,Carnivore,Freshwater Rivers,Crocodiles,6,"India, Bangladesh, Nepal",Endangered,Platanistidae,300 to 330,12,Solitary/Small groups,1
Gaur,Bos gaurus,180 to 300,600 to 1300,"Dark Brown, Black",20 to 25,Herbivore,"Grasslands, Forests","Tigers, Leopards",30 to 40,"Southeast Asia, South Asia",Vulnerable,Bovidae,275 to 280,30 to 40,Herd-based,1
Gemsbok,Oryx gazella,120 to 130,210 to 240,Grey-brown,20,Herbivore,Deserts,"Lions, Leopards, Cheetahs",30,Africa,Least Concern,Bovidae,270,60,Herds,1
Gerenuk,Litocranius walleri,80 to 105,28 to 52,"Brown, White",8 to 10,Herbivore,"Savannas, Scrublands","Lions, Leopards",55,"Eastern Africa, Horn of Africa",Near Threatened,Bovidae,170 to 215,95,Solitary,1
Gharial,Gavialis gangeticus,600,Up to 1500,Brownish-gray,40 to 60,Carnivore,"Rivers, Lakes","Crocodiles, Tigers",32,Indian subcontinent,Critically Endangered,Gavialidae,94 to 123,32,Solitary,20 to 95
Giant Anteater,Myrmecophaga tridactyla,52 to 91,22 to 41,"Brown, White",15 to 20,Insectivore,"Grasslands, Forests","Jaguars, Pumas",24,Central and South America,Least Concern,Myrmecophagidae,190 to 210,24,Solitary,1
Giant Otter,Pteronura brasiliensis,150 to 170,22 to 32,Brown,10,Carnivore,"Rivers, Swamps","Jaguars, Caimans",10,South America,Endangered,Mustelidae,65 to 70,20,Family Groups,1 to 5
Giant Pacific Octopus,Enteroctopus dofleini,500,Up to 25,"Red, Brown",3 to 5,Carnivore,Ocean Floor,"Fish, Sharks",24,Pacific Ocean,Data Deficient,Enteroctopodidae,50 to 70,24,Solitary,"Up to 200,000"
Giant Panda,Ailuropoda melanoleuca,70 to 90,70 to 125,"Black, White",20 to 30,Herbivore,Temperate Broadleaf Forests,Snow Leopards,32,China,Endangered,Ursidae,95 to 160,32,Solitary,1
Gila Monster,Heloderma suspectum,60,Up to 2.3,"Black, Orange",Up to 20,Carnivore,"Deserts, Scrubland","Birds of Prey, Coyotes",1 to 2,"Southwestern United States, Mexico",Least Concern,Helodermatidae,120 to 150,5,Solitary,2 to 12 (eggs)
Glass Frog,Centrolenidae,2.2 to 7.7,Up to 0.03,"Green, Transparent",10 to 14 days,Insectivore,Rainforests,"Birds, Snakes",0.8,Central and South America,Least Concern,Centrolenidae,10 to 20,3,Solitary,Up to 30
Goblin Shark,Mitsukurina owstoni,320,Up to 210,Pinkish-gray,30 to 35,Carnivore,Deep-sea,"Larger Fish, Other Sharks",1.6 to 3,Worldwide,Data Deficient,Mitsukurinidae,270,15,Solitary,10 to 20
Golden Langur,Trachypithecus geei,50 to 75,9 to 12,Golden,20,Herbivore,Forests,"Eagles, Leopards",15,"India, Bhutan",Endangered,Cercopithecidae,180,35,Troops,1
Golden Lion Tamarin,Leontopithecus rosalia,35,Up to 0.7,"Golden, Reddish-brown",10 to 15,Omnivore,Tropical Rainforests,"Birds, Snakes",8 to 13,"Brazil, Southeastern Bahia",Endangered,Callitrichidae,125 to 130,8 to 13,Social groups,1 to 3
Golden Poison Dart Frog,Phyllobates terribilis,3 to 6,Up to 2.4,Various,10 to 17,Insectivore,Rainforests,Snakes,0.3,Western Colombia,Near Threatened,Dendrobatidae,14,0.3,Solitary,Up to 40
Gray Whale,Eschrichtius robustus,1300 to 1500,27000,Gray,50 to 70,Carnivore,Oceans,Orcas,8,North Pacific Ocean,Least Concern,Eschrichtiidae,390,16,Pods,1
Great White Shark,Carcharodon carcharias,610,Up to 2268,Grey,30 to 40,Carnivore,Oceans,Orcas,56,Oceans worldwide,Vulnerable,Lamnidae,12 to 18 months,56,Solitary,2 to 14 (approx.)
Green Anaconda,Eunectes murinus,550,Up to 97.5,Olive-green,10 to 15,Carnivore,"Swamps, Marshes","Jaguars, Caymans",16 to 24 (in water),South America,Least Concern,Boidae,150 to 160,24,Solitary,Up to 80
Green Mamba,Dendroaspis angusticeps,150 to 200,1.5,Green,12,Carnivore,Coastal Forests,"Birds of Prey, Mongooses",10,East Africa,Least Concern,Elapidae,60 to 90,15,Solitary,10 to 15 (eggs)
Green Sea Turtle,Chelonia mydas,120,Up to 200,Greenish-brown,80 to 100,Herbivore,"Oceans, Coastal Areas",Predatory Fish,1.6 to 3.2,Oceans worldwide,Endangered,Cheloniidae,45 to 70,35,Solitary,100 to 115 (eggs)
Grevy's Zebra,Equus grevyi,130 to 160,350 to 450,"White, Black",20 to 30,Herbivore,Grasslands,"Lions, Hyenas",64,Eastern Africa,Endangered,Equidae,390 to 396,64,Herd-based,1
Grey Seal,Halichoerus grypus,195 to 230,150 to 310,Grey with spots,25 to 35,Carnivore,Coastal Waters,"Orcas, Large Sharks",15,North Atlantic Oceans,Least Concern,Phocidae,350,35,Colonies,1
Grey Wolf,Canis lupus,80 to 85,30 to 80,"Grey, Black",6 to 8,Carnivore,"Forests, Tundra","Tigers, Bears",35,"North America, Eurasia",Least Concern,Canidae,62 to 75,60,Packs,4 to 6
Grizzly Bear,Ursus arctos horribilis,100 to 140,130 to 360,Brown,20 to 25,Omnivore,"Forests, Mountains",None (Apex Predator),15,North America,Least Concern,Ursidae,180 to 250,55,Solitary,1 to 3
Hagfish,Myxini,127,Up to 0.7,"Pink, Gray",Up to 300,Scavenger,"Ocean Floor, Deep-sea",Various Predators,0.8,Oceans worldwide,Least Concern,Myxinidae,60 to 90,5,Solitary,20 to 30 (eggs)
